"","x"
"1","D_5__uncultured bacterium"
"2","D_5__Candidatus Udaeobacter"
"3","D_5__Chthoniobacter"
"4","D_5__Candidatus Nitrocosmicus"
"5","D_5__Candidatus Nitrososphaera"
"6","D_5__Ramlibacter"
"7","D_5__Burkholderia-Caballeronia-Paraburkholderia"
"8","D_5__Sphingomonas"
"9","D_5__Pseudolabrys"
"10","D_5__Steroidobacter"
"11","D_5__Nitrosospira"
"12","D_5__uncultured"
"13","D_5__Bradyrhizobium"
"14","D_5__Devosia"
"15","D_5__Microvirga"
"16","D_5__Skermanella"
"17","D_5__Acidibacter"
"18","D_5__uncultured soil bacterium"
"19","D_5__uncultured planctomycete"
"20","D_5__uncultured Planctomycetales bacterium"
"21","D_5__Pirellula"
"22","D_5__Gemmatimonas"
"23","D_5__Bacillus"
"24","D_5__Tumebacillus"
"25","D_5__uncultured Chloroflexi bacterium"
"26","D_5__Flavisolibacter"
"27","D_5__Streptomyces"
"28","D_5__Catenulispora"
"29","D_5__Blastococcus"
"30","D_5__Geodermatophilus"
"31","D_5__Pseudonocardia"
"32","D_5__RB41"
